AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,TraitID_22,TraitID_42,Notes
Abronia bigelovii,Abronia,Nyctaginaceae,Caryophyllales,Magnoliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Abronia fragrans,Abronia,Nyctaginaceae,Caryophyllales,Magnoliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Abrus precatorius,Abrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Vine,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha amblyodonta,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha arciana,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha brasiliensis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha communis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha fragilis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha gracilis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha multicaulis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha noronhae,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha poiretii,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acalypha villosa,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Acanthocladus dichromus,Acanthocladus,Polygalaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
