observation,LastName,Author,ScientificName,lon,lat,alt,site,country,continent,biome,ymean_temp,ymean_prec,ymean_pet,soil_type,sample_date,growth_form,plant_woodiness,leaf_phenology,sun_shade,dbh,height,a_amax,a_gsw,a_vcmax,a_jmax,a_rdmax,m_amax,SLA,single_leaf_area,wood_dens,leaf_dens,leaf_carbon,leaf_nitrogen,leaf_n_area,leaf_phosphorus,leaf_c2n,leaf_c2p,leaf_n2p,leaf_thick,wood_water_sat,wood_hydcond,wood_water_store,xylem_p12,xylem_p50,xylem_p88,leaf_pio_full,leaf_psi_tlp,leaf_elas_mod,leaf_rwc_tlp,leaf_toughness,leaf_f_punct,max_height,experiment,ValueKind,Count,reference,doi,Notes
1,Courtois,Elodie Courtois,Unonopsis rufescens,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,16.98,,,0.37,,18.6,,0.49,,,,,,,,,,,,,,,1.29,0.0864,,,Average,4,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
2,Courtois,Elodie Courtois,Protium gallicum,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,17.49,,,0.39,,,,,,,,,,,,,,,,,,,0.88,0.059,,,Average,3,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
3,Courtois,Elodie Courtois,Protium trifoliolatum,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,20.96,,,0.4,,,,,,,,,,,,,,,,,,,0.9,0.0603,,,Average,7,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
4,Courtois,Elodie Courtois,Licania alba,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,10.26,,,0.33,,14.2,,0.34,,,,,,,,,,,,,,,1.99,0.1334,,,Average,3,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
5,Courtois,Elodie Courtois,Licania canescens,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,12.08,,,0.43,,15.9,,0.36,,,,,,,,,,,,,,,1.41,0.0945,,,Average,5,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
6,Courtois,Elodie Courtois,Licania membranacea,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,13.14,,,0.41,,15.2,,0.33,,,,,,,,,,,,,,,1.36,0.0911,,,Average,13,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
7,Courtois,Elodie Courtois,Drypetes variabilis,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,15.34,,,0.33,,17.6,,0.53,,,,,,,,,,,,,,,1.24,0.0831,,,Average,5,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
8,Courtois,Elodie Courtois,Eschweilera coriacea,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,13.68,,,0.44,,17.3,,0.53,,,,,,,,,,,,,,,1.11,0.0744,,,Average,3,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
9,Courtois,Elodie Courtois,Lecythis persistens,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,11.07,,,0.46,,17.1,,0.45,,,,,,,,,,,,,,,1.45,0.0972,,,Average,11,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
10,Courtois,Elodie Courtois,Lecythis poiteaui,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,18.52,,,0.44,,28,,0.53,,,,,,,,,,,,,,,1.02,0.0684,,,Average,9,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
11,Courtois,Elodie Courtois,Quararibea duckei,-52.683,4.033,110,GF-NOU,French Guiana,South America,06 - Tropical Moist Forest,26.3,2990,,03 - Sandy Loam,,Tree,Woody,,01 - Mostly Shaded,,,,,,,,,26.04,,,0.3,,27.4,,0.92,,,,,,,,,,,,,,,0.95,0.0637,,,Average,8,Courtois E. 2010. Le parfum de la defense des plantes en foret amazonienne. Ph.D. thesis; Universite de Toulouse; Toulouse; France. https://www.theses.fr/2010TOU30266.,[DOI missing] https://www.theses.fr/2010TOU30266,Assumed SLA was actually in m2/kg (based on magnitude). Assumed saplings to be in the shade and trees to be fully illuminated (assumption because they used climbers). Conversion from leaf toughness (N) to leaf force to puncture (kN/m) assumed cross-section diameter of 4.75mm based on instrument used (Chatillon E-DFE-2) and communication with Chatillon. Number of samples is the number of individuals sampled for each species; size class and site.
