TRYName,Duplicated,Confidence,WFOMatchedName,WFOStatus,WFOAccepted,GBIFstatus,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Sources,Notes
Aa,FALSE,1.00,Aa,Accepted,Aa,ACCEPTED,Aa,Aa,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
Abacaba (palm),FALSE,0.31,Oenocarpus bacaba,Accepted,Oenocarpus bacaba,ACCEPTED,Oenocarpus bacaba,Oenocarpus,Arecaceae,Arecales,Liliopsida,Tracheophyta,Palm,mlo,Common name provided; used literature and location to assign name
Abarema,FALSE,1,Abarema,Accepted,Abarema,ACCEPTED,Abarema,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema adenophora,FALSE,1.00,Abarema adenophora,Accepted,Abarema adenophora,ACCEPTED,Abarema adenophora,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema adenophorum,FALSE,1.00,Abarema adenophorum,Accepted,Abarema adenophorum,ACCEPTED,Abarema adenophora,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema alexandri var. troyana,FALSE,1.00,Abarema alexandri var. troyana,Accepted,Abarema alexandri,ACCEPTED,Abarema alexandri,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,Excluded variety information (var. troyana)
Abarema auriculata,FALSE,1,Abarema auriculata,Accepted,Abarema auriculata,ACCEPTED,Abarema auriculata,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema barbouriana,FALSE,1.00,Abarema barbouriana,Accepted,Abarema barbouriana,ACCEPTED,Abarema barbouriana,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema barbouriana var. barbouriana,FALSE,1.00,Abarema barbouriana var. barbouriana,Synonym,Abarema barbouriana,ACCEPTED,Abarema barbouriana,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema brachystachya,FALSE,1,Abarema brachystachya,Accepted,Abarema brachystachya,ACCEPTED,Abarema brachystachya,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema cochleata,FALSE,1.00,Abarema cochleata,Accepted,Abarema cochleata,ACCEPTED,Abarema cochleata,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Abarema cochliacarpos,FALSE,0.99,Abarema cochliocarpos,Accepted,Abarema cochliocarpos,ACCEPTED,Abarema cochliacarpos,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Abarema cochliocarpos,FALSE,1.00,Abarema cochliocarpos,Accepted,Abarema cochliocarpos,ACCEPTED,Abarema cochliocarpos,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Abarema curvicarpa,FALSE,1.00,Abarema curvicarpa,Accepted,Abarema curvicarpa,ACCEPTED,Abarema curvicarpa,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema jupunba,FALSE,1.00,Abarema jupunba,Accepted,Abarema jupunba,ACCEPTED,Abarema jupunba,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema jupunba var. jupunba,FALSE,1.00,Abarema jupunba var. jupunba,Synonym,Abarema jupunba,ACCEPTED,Abarema jupunba,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema laeta,FALSE,1.00,Abarema laeta,Accepted,Abarema laeta,ACCEPTED,Abarema laeta,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema langsdorffii,FALSE,1.00,Abarema langsdorffii,Accepted,Abarema langsdorffii,ACCEPTED,Abarema langsdorffii,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Abarema macradenia,FALSE,1.00,Abarema macradenia,Accepted,Abarema macradenia,ACCEPTED,Abarema macradenia,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema mataybifolia,FALSE,1.00,Abarema mataybifolia,Accepted,Abarema mataybifolia,ACCEPTED,Abarema mataybifolia,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abarema microcalyx,FALSE,1.00,Abarema microcalyx,Accepted,Abarema microcalyx,ACCEPTED,Abarema microcalyx,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif;mlo,Accepted according to GBIF
Abarema piresii,FALSE,1.00,Abarema piresii,Accepted,Abarema piresii,ACCEPTED,Abarema piresii,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abatia parviflora,FALSE,1.00,Abatia parviflora,Accepted,Abatia parviflora,ACCEPTED,Abatia parviflora,Abatia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abdilobarana,FALSE,0.31,Pouteria torta,Accepted,Pouteria torta,ACCEPTED,Pouteria torta,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; assumed abiurana; used literature and location to assign species
Abies durangensis,FALSE,1.00,Abies durangensis,Accepted,Abies durangensis,ACCEPTED,Abies durangensis,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,,wfo;gbif,
Abies religiosa,FALSE,1.00,Abies religiosa,Accepted,Abies religiosa,ACCEPTED,Abies religiosa,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,,wfo;gbif,
Abiu,FALSE,0.31,Pouteria reticulata,Accepted,Pouteria reticulata,ACCEPTED,Pouteria reticulata,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Abiu caramuri,FALSE,0.21,Pouteria elegans,Accepted,Pouteria elegans,ACCEPTED,Pouteria elegans,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Abiu casca grossa,FALSE,0.31,Pouteria bilocularis,Accepted,Pouteria bilocularis,ACCEPTED,Pouteria bilocularis,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Abiu cutiti,FALSE,0.31,Pouteria macrophylla,Accepted,Pouteria macrophylla,ACCEPTED,Pouteria macrophylla,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Abiu pitomba,FALSE,0.21,Pouteria,Accepted,Pouteria,ACCEPTED,Pouteria,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided but not found; abiu is typically associated with Pouteria so kept the genus only.
Abiurana,FALSE,0.31,Pouteria torta,Accepted,Pouteria torta,ACCEPTED,Pouteria torta,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign genus
Abrus precatorius,FALSE,1.00,Abrus precatorius,Accepted,Abrus precatorius,ACCEPTED,Abrus precatorius,Abrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta,FALSE,1.00,Abuta,Accepted,Abuta,ACCEPTED,Abuta,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta candollei,FALSE,1.00,Abuta candollei,Accepted,Abuta candollei,ACCEPTED,Abuta candollei,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta grandifolia,FALSE,1.00,Abuta grandifolia,Accepted,Abuta grandifolia,ACCEPTED,Abuta grandifolia,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Abuta imene,FALSE,1.00,Abuta imene,Accepted,Abuta imene,ACCEPTED,Abuta imene,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,wfo;gbif,
