Entry,TRYName,matchType,Confidence,GBIFStatus,rank,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Notes
1,Aa sp,EXACT,80,ACCEPTED,GENUS,Aa,Aa,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,
2,Abacaba palm,MANUAL,100,ACCEPTED,SPECIES,Oenocarpus bacaba,Oenocarpus,Arecaceae,Arecales,Liliopsida,Tracheophyta,Palm,Common name provided; used literature and location to assign name
3,Abarema,EXACT,96,ACCEPTED,GENUS,Abarema,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
4,Abarema adenophora,EXACT,100,SYNONYM,SPECIES,Jupunba adenophora,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
5,Abarema adenophorum,FUZZY,97,SYNONYM,SPECIES,Jupunba adenophora,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
6,Abarema alexandrae,EXACT,100,ACCEPTED,SPECIES,Abarema alexandrae,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
7,Abarema auriculata,EXACT,100,SYNONYM,SPECIES,Jupunba auriculata,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
8,Abarema barbouriana,EXACT,100,SYNONYM,SPECIES,Jupunba barbouriana,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
9,Abarema brachystachya,EXACT,100,SYNONYM,SPECIES,Jupunba brachystachya,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
10,Abarema cochleata,EXACT,100,SYNONYM,SPECIES,Jupunba cochleata,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
11,Abarema cochliacarpos,EXACT,100,ACCEPTED,SPECIES,Abarema cochliocarpos,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
12,Abarema cochliocarpos,EXACT,100,ACCEPTED,SPECIES,Abarema cochliocarpos,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
13,Abarema curvicarpa,EXACT,100,SYNONYM,SPECIES,Jupunba curvicarpa,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
14,Abarema jupunba,EXACT,100,SYNONYM,SPECIES,Jupunba trapezifolia,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
15,Abarema jupunba var. jupunba,EXACT,100,SYNONYM,SPECIES,Jupunba trapezifolia,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
16,Abarema laeta,EXACT,100,SYNONYM,SPECIES,Jupunba laeta,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
17,Abarema langsdorffii,EXACT,99,SYNONYM,SPECIES,Jupunba langsdorffii,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
18,Abarema macradenia,EXACT,100,SYNONYM,SPECIES,Jupunba macradenia,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
19,Abarema mataybifolia,EXACT,100,SYNONYM,SPECIES,Jupunba mataybifolia,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
20,Abarema microcalyx,EXACT,100,SYNONYM,SPECIES,Jupunba microcalyx,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
21,Abarema piresii,EXACT,100,SYNONYM,SPECIES,Jupunba piresii,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
22,Abatia parviflora,EXACT,100,ACCEPTED,SPECIES,Abatia parviflora,Abatia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
23,Abdilobarana,MANUAL,100,ACCEPTED,SPECIES,Pouteria torta,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; assumed abiurana; used literature and location to assign species
24,Abies durangensis,EXACT,100,ACCEPTED,SPECIES,Abies durangensis,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,,
25,Abies religiosa,EXACT,99,ACCEPTED,SPECIES,Abies religiosa,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,,
26,Abiu caramuri,MANUAL,100,ACCEPTED,SPECIES,Pouteria elegans,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign species
27,Abiu casca grossa,MANUAL,100,ACCEPTED,SPECIES,Pouteria bilocularis,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign species
28,Abiu cutiti,MANUAL,100,ACCEPTED,SPECIES,Pouteria macrophylla,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign species
29,Abiu pitomba,MANUAL,96,ACCEPTED,GENUS,Pouteria,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided but not found; abiu is typically associated with Pouteria so kept the genus only.
30,Abiurana,MANUAL,100,ACCEPTED,SPECIES,Pouteria torta,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign genus
31,Abrus precatorius,EXACT,99,ACCEPTED,SPECIES,Abrus precatorius,Abrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
32,Abuta candollei,EXACT,100,ACCEPTED,SPECIES,Abuta candollei,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
33,Abuta dwyerana,FUZZY,96,ACCEPTED,SPECIES,Abuta dwyeriana,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
34,Abuta grandifolia,EXACT,100,ACCEPTED,SPECIES,Abuta grandifolia,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
35,Abuta imene,EXACT,100,ACCEPTED,SPECIES,Abuta imene,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
36,Abuta panamensis,EXACT,100,ACCEPTED,SPECIES,Abuta panamensis,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
37,Abuta panurensis,EXACT,100,ACCEPTED,SPECIES,Abuta panurensis,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
38,Abuta racemosa,EXACT,100,ACCEPTED,SPECIES,Abuta racemosa,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
39,Abuta rufescens,EXACT,99,ACCEPTED,SPECIES,Abuta rufescens,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
40,Abuta sp,EXACT,80,ACCEPTED,GENUS,Abuta,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
41,Acacia acanthophylla,EXACT,100,SYNONYM,SPECIES,Senegalia hayesii,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
42,Acacia boriensis,FUZZY,96,SYNONYM,SPECIES,Senegalia bonariensis,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
43,Acacia glauca,MANUAL,99,SYNONYM,SPECIES,Acaciella glauca,Acaciella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,GBIF did not resolve due to multiple authors; picking one found in Panama
44,Acacia hayesii,EXACT,100,SYNONYM,SPECIES,Senegalia hayesii,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
45,Acacia mangium,EXACT,100,ACCEPTED,SPECIES,Acacia mangium,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
46,Acacia melanoceras,EXACT,100,SYNONYM,SPECIES,Vachellia melanoceras,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
47,Acacia retinodes,EXACT,100,ACCEPTED,SPECIES,Acacia retinodes,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
